analysis,bias_FLR,bias_MMR,created_at,dataset,dataset_display,direct_threshold,direct_threshold_sigmoid_equivalent,fraction,inner_FLR,inner_MMR,inner_correct,inner_declared,inner_false_links,inner_legacy_psi,inner_missing_matches,inner_n_true_records,inner_test_size,inner_train_draw_size,inner_train_unique_size,inner_unmatched_abstentions,legacy_analysis22_threshold,model_path,n_fit_pairs,n_train_pairs_total,n_validation_pairs,outer_holdout_size,outer_labelled_size,prediction_path,role,scheme,score_path,seed,source_analysis18_direct_cell,source_analysis22_cell,source_analysis22_prediction,target_FLR,target_MMR,target_legacy_psi,training_performed,validation_f1
analysis22_section332_bias_direct,-0.012226864236121515,-3.6519230418030624e-05,2026-09-25 10:20:12,DBLP,DBLP-Scholar,0.45000000000000007,0.610639233949222,0.8,0.014577259475218707,0.014577259475218707,676,686,10,0.013119533527696793,9,686,733,1359,1359,38,0.15000000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p80/seed_43,48489,60612,12123,524,2092,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p80_seed43_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,43,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p80_seed43.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p80_seed43_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p80_seed43_SRSWOR_65_35.csv,0.026804123711340222,0.014613778705636737,0.0041753653444676405,False,0.9245647969052224
analysis22_section332_bias_direct,0.0136633675531882,0.004914996964177298,2026-09-25 10:20:27,DBLP,DBLP-Scholar,0.45000000000000007,0.610639233949222,0.8,0.017804154302670572,0.01925925925925931,662,674,12,0.013333333333333334,9,675,733,1359,1359,50,0.8500000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p80/seed_44,48592,60740,12148,524,2092,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p80_seed44_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,44,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p80_seed44.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p80_seed44_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p80_seed44_SRSWOR_65_35.csv,0.0041407867494823725,0.014344262295082011,0.012295081967213115,False,0.9407114624505929
analysis22_section332_bias_direct,0.029650150627488436,0.005640509110887204,2026-09-25 10:20:42,DBLP,DBLP-Scholar,0.40000000000000013,0.5986876601124521,0.8,0.03377386196769461,0.017910447761193993,658,681,23,0.005970149253731343,4,670,733,1359,1359,48,0.9000000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p80/seed_45,48762,60953,12191,524,2092,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p80_seed45_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,45,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p80_seed45.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p80_seed45_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p80_seed45_SRSWOR_65_35.csv,0.004123711340206171,0.012269938650306789,0.0081799591002045,False,0.9246031746031746
analysis22_section332_bias_direct,-0.002242754481560416,-0.002242754481560416,2026-09-25 10:20:57,DBLP,DBLP-Scholar,0.6000000000000002,0.6456563062257955,0.8,0.014814814814814836,0.014814814814814836,665,675,10,0.01037037037037037,7,675,733,1359,1359,51,0.7500000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p80/seed_46,49345,61682,12337,524,2092,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p80_seed46_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,46,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p80_seed46.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p80_seed46_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p80_seed46_SRSWOR_65_35.csv,0.017057569296375252,0.017057569296375252,0.01279317697228145,False,0.9393346379647749
analysis22_section332_bias_direct,-0.0034268092429755592,-0.011359496605398145,2026-09-25 10:21:12,DBLP,DBLP-Scholar,0.1,0.52497918747894,0.8,0.014903129657228065,0.014903129657228065,661,671,10,0.00894187779433681,6,671,733,1359,1359,56,0.5500000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p80/seed_47,48473,60592,12119,524,2092,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p80_seed47_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,47,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p80_seed47.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p80_seed47_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p80_seed47_SRSWOR_65_35.csv,0.018329938900203624,0.02626262626262621,0.01616161616161616,False,0.9430255402750491
analysis22_section332_bias_direct,0.002513161998055402,0.0004851243779575576,2026-09-25 10:21:28,DBLP,DBLP-Scholar,0.3500000000000001,0.5866175789173301,0.8,0.014858841010401136,0.014858841010401136,663,673,10,0.008915304606240713,6,673,733,1359,1359,54,0.3500000000000001,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p80/seed_48,48692,60865,12173,524,2092,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p80_seed48_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,48,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p80_seed48.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p80_seed48_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p80_seed48_SRSWOR_65_35.csv,0.012345679012345734,0.014373716632443578,0.006160164271047228,False,0.905811623246493
analysis22_section332_bias_direct,0.021717110080546775,0.0063374485596707775,2026-09-25 10:21:43,DBLP,DBLP-Scholar,0.1,0.52497918747894,0.8,0.027941176470588247,0.020740740740740726,661,680,19,0.005925925925925926,4,675,733,1359,1359,49,0.9000000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p80/seed_49,48688,60861,12173,524,2092,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p80_seed49_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,49,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p80_seed49.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p80_seed49_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p80_seed49_SRSWOR_65_35.csv,0.006224066390041472,0.014403292181069949,0.0102880658436214,False,0.9251439539347409
analysis22_section332_bias_direct,-0.0010576800335539982,-0.0022644927536231707,2026-09-25 10:21:58,DBLP,DBLP-Scholar,0.1,0.52497918747894,0.8,0.02363367799113736,0.016369047619047672,661,677,16,0.00744047619047619,5,672,733,1359,1359,51,0.8000000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p80/seed_50,48902,61128,12226,524,2092,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p80_seed50_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,50,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p80_seed50.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p80_seed50_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p80_seed50_SRSWOR_65_35.csv,0.024691358024691357,0.018633540372670843,0.006211180124223602,False,0.9475728155339805
analysis22_section332_bias_direct,-0.010165719458834155,-0.008457488517979228,2026-09-25 10:22:14,DBLP,DBLP-Scholar,0.9000000000000002,0.710949502625004,0.8,0.008902077151335286,0.014749262536873142,668,674,6,0.008849557522123894,6,678,733,1359,1359,53,0.7500000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p80/seed_51,49043,61304,12261,524,2092,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p80_seed51_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,51,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p80_seed51.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p80_seed51_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p80_seed51_SRSWOR_65_35.csv,0.01906779661016944,0.02320675105485237,0.016877637130801686,False,0.9302325581395349
analysis22_section332_bias_direct,0.0060975609756097615,0.009560796497669832,2026-09-25 10:20:06,DBLP,DBLP-Scholar,0.1,0.52497918747894,0.8,0.028455284552845517,0.017808219178082174,717,738,21,0.005479452054794521,4,730,793,2092,1299,51,0.8500000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p80/seed_42,75102,93878,18776,524,2092,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p80_seed42_bootstrap_OOB.csv,inner,bootstrap_OOB,CrossEncoder.predict,42,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p80_seed42.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p80_seed42_bootstrap_OOB.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p80_seed42_bootstrap_OOB.csv,0.022357723577235755,0.008247422680412342,0.008247422680412371,False,0.9603072983354674
analysis22_section332_bias_direct,-0.00564756517819498,-0.006042350134208174,2026-09-25 10:20:21,DBLP,DBLP-Scholar,0.9000000000000002,0.710949502625004,0.8,0.021156558533145242,0.008571428571428563,694,709,15,0.002857142857142857,2,700,756,2092,1336,45,0.9000000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p80/seed_43,74832,93540,18708,524,2092,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p80_seed43_bootstrap_OOB.csv,inner,bootstrap_OOB,CrossEncoder.predict,43,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p80_seed43.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p80_seed43_bootstrap_OOB.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p80_seed43_bootstrap_OOB.csv,0.026804123711340222,0.014613778705636737,0.0041753653444676405,False,0.9714285714285714
analysis22_section332_bias_direct,0.023369529619155838,0.014501891551071844,2026-09-25 10:20:36,DBLP,DBLP-Scholar,0.1,0.52497918747894,0.8,0.02751031636863821,0.028846153846153855,707,727,20,0.01510989010989011,11,728,795,2092,1297,57,0.30000000000000004,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p80/seed_44,74995,93744,18749,524,2092,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p80_seed44_bootstrap_OOB.csv,inner,bootstrap_OOB,CrossEncoder.predict,44,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p80_seed44.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p80_seed44_bootstrap_OOB.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p80_seed44_bootstrap_OOB.csv,0.0041407867494823725,0.014344262295082011,0.012295081967213115,False,0.9688311688311688
