correct,dataset,declared,evaluation_seconds,false_links,fraction,lambda,missing_matches,model_loaded_from_checkpoint,model_path,n_fit_pairs,n_holdout,n_labelled_a,n_train_pairs_total,n_true_records,n_validation_pairs,prediction_path,psi,score_path,seed,threshold,train_seconds_this_run,unmatched_abstentions,validation_f1
702,DBLP,720,21.299192428588867,18,0.7,0.025,8,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p70/seed_50,65845,785,1831,82307,721,16462,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p70_seed50.csv,0.011095700416088766,sigmoid(CrossEncoder.predict),50,0.9000000000000002,523.3920745849609,57,0.9380530973451328
701,DBLP,707,19.750556230545044,6,0.7,0.008486562942008486,11,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p70/seed_51,66066,785,1831,82583,716,16517,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p70_seed51.csv,0.015363128491620111,sigmoid(CrossEncoder.predict),51,0.8500000000000002,475.74571537971497,67,0.9382352941176471
480,DBLP,490,13.553150177001953,10,0.8,0.02040816326530612,5,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p80/seed_42,75112,524,2092,93890,485,18778,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p80_seed42.csv,0.010309278350515464,sigmoid(CrossEncoder.predict),42,0.9000000000000002,551.6451799869537,29,0.9434447300771208
472,DBLP,485,13.36265754699707,13,0.8,0.026804123711340205,2,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p80/seed_43,75336,524,2092,94170,479,18834,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p80_seed43.csv,0.0041753653444676405,sigmoid(CrossEncoder.predict),43,0.30000000000000004,555.8997530937195,37,0.9321608040201005
485,DBLP,493,14.041548490524292,8,0.8,0.016227180527383367,1,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p80/seed_44,74938,524,2092,93673,488,18735,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p80_seed44.csv,0.0020491803278688526,sigmoid(CrossEncoder.predict),44,0.1,553.1457653045654,30,0.9425287356321839
483,DBLP,484,13.194222211837769,1,0.8,0.002066115702479339,5,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p80/seed_45,74931,524,2092,93664,489,18733,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p80_seed45.csv,0.010224948875255624,sigmoid(CrossEncoder.predict),45,0.8500000000000002,550.2150015830994,35,0.9360613810741688
460,DBLP,467,13.003153562545776,7,0.8,0.014989293361884369,8,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p80/seed_46,75748,524,2092,94686,469,18938,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p80_seed46.csv,0.017057569296375266,sigmoid(CrossEncoder.predict),46,0.9000000000000002,583.0758202075958,49,0.9299363057324841
483,DBLP,492,13.120438814163208,9,0.8,0.018292682926829267,7,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p80/seed_47,74654,524,2092,93318,495,18664,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p80_seed47.csv,0.014141414141414142,sigmoid(CrossEncoder.predict),47,0.5000000000000001,606.258421421051,25,0.9437908496732026
479,DBLP,485,13.13167405128479,6,0.8,0.012371134020618556,4,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p80/seed_48,74992,524,2092,93741,487,18749,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p80_seed48.csv,0.008213552361396304,sigmoid(CrossEncoder.predict),48,0.8500000000000002,567.2713797092438,35,0.9312977099236641
478,DBLP,481,13.171100378036499,3,0.8,0.006237006237006237,6,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p80/seed_49,75052,524,2092,93815,486,18763,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p80_seed49.csv,0.012345679012345678,sigmoid(CrossEncoder.predict),49,0.9000000000000002,593.8256332874298,37,0.9361147327249022
472,DBLP,483,13.279584407806396,11,0.8,0.022774327122153208,5,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p80/seed_50,75144,524,2092,93930,483,18786,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p80_seed50.csv,0.010351966873706004,sigmoid(CrossEncoder.predict),50,0.8500000000000002,575.4298272132874,36,0.9375
