dataset,seed,seed_role,column,side,scorer,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,n_unmatched_records,abstained_unmatched,lr_threshold
DBLP,50,diagnostic,forced-1:1,string,MEC,0.027548209366391185,0.1060480530240265,1089,1059,30,128,1207,101,91,
DBLP,50,diagnostic,forced-1:1,string,LR,0.036051502145922745,0.056338028169014086,1165,1123,42,68,1207,101,75,0.3500000000000001
DBLP,50,diagnostic,forced-1:1,bi-encoder,MEC,0.02389705882352941,0.10190555095277548,1088,1062,26,123,1207,101,97,
DBLP,50,diagnostic,forced-1:1,bi-encoder,LR,0.039568345323741004,0.08864954432477216,1112,1068,44,107,1207,101,89,0.40000000000000013
DBLP,50,diagnostic,k=5,string,MEC,0.03442622950819672,0.012427506213753107,1220,1178,42,15,1207,101,73,
DBLP,50,diagnostic,k=5,string,LR,0.02313624678663239,0.04888152444076222,1167,1140,27,59,1207,101,82,0.5000000000000001
DBLP,50,diagnostic,k=5,bi-encoder,MEC,0.02231404958677686,0.007456503728251864,1210,1183,27,9,1207,101,89,
DBLP,50,diagnostic,k=5,bi-encoder,LR,0.012313104661389622,0.058823529411764705,1137,1123,14,71,1207,101,100,0.45000000000000007
DBLP,50,diagnostic,k=50,string,MEC,0.0512,0.004971002485501243,1250,1186,64,6,1207,101,52,
DBLP,50,diagnostic,k=50,string,LR,0.00807899461400359,0.0811930405965203,1114,1105,9,98,1207,101,96,0.5500000000000002
DBLP,50,diagnostic,k=50,bi-encoder,MEC,0.0427074939564867,0.0033140016570008283,1241,1188,53,4,1207,101,63,
DBLP,50,diagnostic,k=50,bi-encoder,LR,0.009000900090009001,0.08036454018227009,1111,1101,10,97,1207,101,100,0.5500000000000002
DBLP,51,diagnostic,forced-1:1,string,MEC,0.030303030303030304,0.10451505016722408,1089,1056,33,125,1196,112,94,
DBLP,51,diagnostic,forced-1:1,string,LR,0.0184645286686103,0.14632107023411373,1029,1010,19,175,1196,112,104,0.6500000000000001
DBLP,51,diagnostic,forced-1:1,bi-encoder,MEC,0.032377428307123035,0.1020066889632107,1081,1046,35,122,1196,112,105,
DBLP,51,diagnostic,forced-1:1,bi-encoder,LR,0.039272030651340994,0.13127090301003344,1044,1003,41,157,1196,112,107,0.5500000000000002
DBLP,51,diagnostic,k=5,string,MEC,0.0371900826446281,0.014214046822742474,1210,1165,45,17,1196,112,81,
DBLP,51,diagnostic,k=5,string,LR,0.03454085930918281,0.03260869565217391,1187,1146,41,39,1196,112,82,0.40000000000000013
DBLP,51,diagnostic,k=5,bi-encoder,MEC,0.03007518796992481,0.015050167224080268,1197,1161,36,18,1196,112,93,
