dataset,seed,quartile,model,n_records,declared,correct,false_links,missing_matches,n_true_records,lambda,psi
ECOM,43,Q3,two-step LR,135,50,38,12,85,135,0.24,0.6296296296296297
ECOM,44,Q3,two-step LR,135,121,92,29,14,135,0.2396694214876033,0.1037037037037037
ECOM,45,Q3,two-step LR,135,65,50,15,70,135,0.23076923076923078,0.5185185185185185
ECOM,46,Q3,two-step LR,135,69,54,15,66,135,0.21739130434782608,0.4888888888888889
ECOM,47,Q3,two-step LR,135,68,46,22,67,135,0.3235294117647059,0.4962962962962963
ECOM,48,Q3,two-step LR,135,79,63,16,56,135,0.20253164556962025,0.4148148148148148
ECOM,49,Q3,two-step LR,135,109,75,34,26,135,0.3119266055045872,0.1925925925925926
ECOM,50,Q3,two-step LR,135,88,69,19,47,135,0.2159090909090909,0.34814814814814815
ECOM,51,Q3,two-step LR,135,83,61,22,52,135,0.26506024096385544,0.3851851851851852
ECOM,42,Q4,cross-encoder,135,133,130,3,2,135,0.022556390977443608,0.014814814814814815
ECOM,43,Q4,cross-encoder,135,127,126,1,8,135,0.007874015748031496,0.05925925925925926
ECOM,44,Q4,cross-encoder,135,126,124,2,9,135,0.015873015873015872,0.06666666666666667
ECOM,45,Q4,cross-encoder,135,129,127,2,6,135,0.015503875968992248,0.044444444444444446
ECOM,46,Q4,cross-encoder,135,131,128,3,4,135,0.022900763358778626,0.02962962962962963
ECOM,47,Q4,cross-encoder,135,126,123,3,9,135,0.023809523809523808,0.06666666666666667
ECOM,48,Q4,cross-encoder,135,125,125,0,10,135,0.0,0.07407407407407407
ECOM,49,Q4,cross-encoder,135,129,127,2,6,135,0.015503875968992248,0.044444444444444446
ECOM,50,Q4,cross-encoder,135,129,126,3,6,135,0.023255813953488372,0.044444444444444446
ECOM,51,Q4,cross-encoder,135,131,128,3,4,135,0.022900763358778626,0.02962962962962963
ECOM,42,Q4,two-step LR,135,135,129,6,0,135,0.044444444444444446,0.0
ECOM,43,Q4,two-step LR,135,122,112,10,13,135,0.08196721311475409,0.0962962962962963
ECOM,44,Q4,two-step LR,135,135,120,15,0,135,0.1111111111111111,0.0
ECOM,45,Q4,two-step LR,135,126,117,9,9,135,0.07142857142857142,0.06666666666666667
ECOM,46,Q4,two-step LR,135,133,119,14,2,135,0.10526315789473684,0.014814814814814815
ECOM,47,Q4,two-step LR,135,127,114,13,8,135,0.10236220472440945,0.05925925925925926
ECOM,48,Q4,two-step LR,135,134,128,6,1,135,0.04477611940298507,0.007407407407407408
ECOM,49,Q4,two-step LR,135,135,118,17,0,135,0.1259259259259259,0.0
ECOM,50,Q4,two-step LR,135,135,126,9,0,135,0.06666666666666667,0.0
ECOM,51,Q4,two-step LR,135,134,125,9,1,135,0.06716417910447761,0.007407407407407408
