dataset,ida,n_valid_matches,best_true_idb,best_true_similarity,best_valid_rank
ECOM,23864,1,204636071,0.7313395142555237,1
ECOM,23965,1,203322272,0.677416205406189,1
ECOM,24034,1,50017228,0.8220352530479431,1
ECOM,24153,1,208715855,0.6029542088508606,5
ECOM,24316,1,204569292,0.8472120761871338,1
ECOM,24346,1,208972043,0.699800431728363,1
ECOM,24368,1,202899996,0.8764334321022034,1
ECOM,24386,1,203340101,0.7354677319526672,1
ECOM,24402,1,203897877,1.000000238418579,1
ECOM,24493,1,202900030,0.6976444125175476,3
ECOM,24571,1,202537967,0.5990316271781921,15
ECOM,24572,1,202537969,0.6891601085662842,1
ECOM,24615,1,203340555,0.6423791646957397,3
ECOM,24648,1,203491687,0.6984632015228271,1
ECOM,24693,1,203087681,0.8653295040130615,1
ECOM,24789,1,203017911,0.709997296333313,1
ECOM,24825,1,202900025,0.7096343040466309,1
ECOM,24921,1,203340806,0.7997422218322754,1
ECOM,24937,1,203324914,0.8508201837539673,1
ECOM,25036,1,202502745,0.7767624855041504,1
ECOM,25111,1,203017912,0.7626674771308899,1
ECOM,25113,1,207910387,0.7585296630859375,2
ECOM,25136,1,203087638,0.8209677934646606,1
ECOM,25167,1,203324800,0.8077279329299927,1
ECOM,25262,1,10315184,0.7363907694816589,1
ECOM,25291,1,203308084,0.7732595801353455,2
ECOM,25318,1,202049393,0.7053227424621582,1
ECOM,25364,1,203201060,0.8705693483352661,1
ECOM,25388,1,90145568,0.8377106785774231,1
ECOM,25413,1,90049795,0.7506787776947021,1
ECOM,25532,1,208280406,0.7868843674659729,1
ECOM,25550,1,202827713,0.8801423907279968,1
ECOM,25670,1,203389465,0.8124357461929321,1
ECOM,25732,1,203341506,0.9350115060806274,1
ECOM,25749,1,202827715,0.8399544954299927,2
ECOM,25776,1,90114631,0.8019702434539795,1
ECOM,25788,1,203396327,0.9664574861526489,1
ECOM,25797,1,204416098,0.833967924118042,1
ECOM,25813,1,202973389,0.6562148928642273,2
ECOM,25814,1,202973396,0.7555152177810669,2
ECOM,25829,1,202827684,0.910507321357727,1
ECOM,25855,1,205986339,0.8877643346786499,2
ECOM,25857,1,202870177,0.5852322578430176,11
ECOM,25858,1,202870184,0.6564235687255859,7
ECOM,25902,1,202479411,0.780320942401886,1
ECOM,25905,1,202479418,0.7366498708724976,1
ECOM,25950,1,202870170,0.9011882543563843,1
ECOM,25990,1,203915639,0.7593604326248169,2
ECOM,26059,1,203870569,0.8878464102745056,1
ECOM,26082,1,204274660,0.8795267939567566,1
ECOM,26117,1,204587909,0.7423672676086426,1
ECOM,26137,1,204272122,0.8346413373947144,2
ECOM,26241,1,208456199,0.839893102645874,2
ECOM,26310,1,203459314,0.7878968119621277,1
ECOM,26346,1,202537962,0.8091786503791809,9
ECOM,26350,1,202537952,0.9093089699745178,1
ECOM,26444,1,203407045,0.9414180517196655,1
ECOM,26445,1,203407043,0.9307010769844055,1
ECOM,26461,1,200924629,0.9106630086898804,1
ECOM,26525,1,203921172,0.9143063426017761,1
ECOM,26563,1,202125720,0.6924692392349243,3
ECOM,26615,1,203329569,0.8175819516181946,1
ECOM,26617,1,201692705,0.8713277578353882,1
ECOM,26622,1,203201062,0.8880338668823242,1
ECOM,26695,1,202479417,0.6807475686073303,1
ECOM,26805,1,203900180,0.8631271123886108,1
ECOM,26861,1,203388612,0.8032563328742981,1
ECOM,26891,1,202870174,0.8230863809585571,5
ECOM,26929,1,203651765,0.892803966999054,1
ECOM,26930,2,203920144,0.9205859899520874,1
ECOM,27091,1,203136113,0.7771548628807068,1
ECOM,27103,1,202985803,0.8049560785293579,1
ECOM,27137,1,204049780,0.7953424453735352,1
ECOM,27182,1,206481908,0.8917481899261475,1
ECOM,27186,1,204292477,0.7185832858085632,3
ECOM,27188,1,204292472,0.7324997782707214,5
ECOM,27194,1,204318283,0.7686919569969177,2
ECOM,27197,1,204318288,0.8256735801696777,1
ECOM,27248,1,10246269,0.841902494430542,1
ECOM,27364,1,204791586,0.9397878646850586,1
ECOM,27391,1,204791643,0.851739227771759,2
ECOM,27407,1,203930685,0.8907955288887024,1
ECOM,27479,1,10351869,0.9706039428710938,1
ECOM,27501,1,203928709,0.919914186000824,1
ECOM,27589,1,204264643,0.7708721160888672,2
ECOM,27719,1,203379237,0.8134251832962036,1
ECOM,27729,1,203379250,0.6761960983276367,7
ECOM,27739,1,204644752,0.8846756219863892,1
ECOM,27771,1,202592070,0.5611621141433716,2
ECOM,27778,1,205844282,0.8916850090026855,2
ECOM,27779,1,205844283,0.8471624851226807,2
ECOM,27783,1,202293522,0.9712704420089722,1
ECOM,27789,1,204292470,0.7297698855400085,5
ECOM,27793,1,204292473,0.7790719270706177,6
ECOM,27810,1,204563770,0.8021520376205444,1
ECOM,27840,1,203379249,0.7605984807014465,1
ECOM,27853,1,202985798,0.847037136554718,1
ECOM,27857,1,204035273,0.9376654028892517,1
ECOM,27920,1,206725724,0.9724521040916443,1
ECOM,27964,1,203136103,0.8028770089149475,1
ECOM,27965,1,203136102,0.6224159002304077,4
ECOM,27975,1,10360978,0.8073002696037292,2
ECOM,27985,1,204740191,0.8809500932693481,1
ECOM,28020,1,204734549,0.9116858839988708,1
ECOM,28033,1,204448530,0.9050025343894958,1
ECOM,28059,1,205592435,0.7095395922660828,4
ECOM,28067,1,203922244,0.9755058288574219,1
ECOM,28137,1,204254634,0.7861254215240479,1
