dataset,seed,column,side,analysis20_lambda,analysis20_psi,analysis20_threshold,analysis16_lambda,analysis16_psi,analysis16_threshold,lambda_delta,psi_delta,threshold_delta
DBLP,42,k=50,bi-encoder,0.007048458149779736,0.0628099173553719,0.5500000000000002,0.0070484581497797,0.0628099173553719,0.5500000000000002,3.5561831257524545e-17,0.0,0.0
DBLP,43,k=50,bi-encoder,0.0062724014336917565,0.0677257525083612,0.5500000000000002,0.0062724014336917,0.0677257525083612,0.5500000000000002,5.637851296924623e-17,0.0,0.0
DBLP,44,k=50,bi-encoder,0.01471861471861472,0.05185185185185185,0.40000000000000013,0.0147186147186147,0.0518518518518518,0.4000000000000001,1.9081958235744878e-17,4.85722573273506e-17,5.551115123125783e-17
ECOM,42,forced-1:1,string,0.2835820895522388,0.009242144177449169,0.40000000000000013,0.2835820895522388,0.0092421441774491,0.4000000000000001,0.0,6.938893903907228e-17,5.551115123125783e-17
ECOM,43,forced-1:1,string,0.2905027932960894,0.0073937153419593345,0.3500000000000001,0.2905027932960894,0.0073937153419593,0.3500000000000001,0.0,3.469446951953614e-17,0.0
ECOM,44,forced-1:1,string,0.30868761552680224,0.0,0.1,0.3086876155268022,0.0,0.1,5.551115123125783e-17,0.0,0.0
ECOM,42,forced-1:1,bi-encoder,0.2857142857142857,0.0036968576709796672,0.3500000000000001,0.2857142857142857,0.0036968576709796,0.3500000000000001,0.0,6.722053469410127e-17,0.0
ECOM,43,forced-1:1,bi-encoder,0.2720306513409962,0.03512014787430684,0.40000000000000013,0.2720306513409962,0.0351201478743068,0.4000000000000001,0.0,4.163336342344337e-17,5.551115123125783e-17
ECOM,44,forced-1:1,bi-encoder,0.29558541266794625,0.036968576709796676,0.40000000000000013,0.2955854126679462,0.0369685767097966,0.4000000000000001,5.551115123125783e-17,7.632783294297951e-17,5.551115123125783e-17
ECOM,42,k=5,string,0.3905882352941176,0.2144177449168207,0.25000000000000006,0.3905882352941176,0.2144177449168207,0.25,0.0,0.0,5.551115123125783e-17
ECOM,43,k=5,string,0.29411764705882354,0.4658040665434381,0.30000000000000004,0.2941176470588235,0.4658040665434381,0.3,5.551115123125783e-17,0.0,5.551115123125783e-17
ECOM,44,k=5,string,0.3436426116838488,0.46210720887245843,0.30000000000000004,0.3436426116838488,0.4621072088724584,0.3,0.0,5.551115123125783e-17,5.551115123125783e-17
ECOM,42,k=5,bi-encoder,0.26548672566371684,0.1645101663585952,0.20000000000000004,0.2654867256637168,0.1645101663585952,0.2,5.551115123125783e-17,0.0,2.7755575615628914e-17
ECOM,43,k=5,bi-encoder,0.20930232558139536,0.4436229205175601,0.30000000000000004,0.2093023255813953,0.4436229205175601,0.3,5.551115123125783e-17,0.0,5.551115123125783e-17
ECOM,44,k=5,bi-encoder,0.26790450928381965,0.3031423290203327,0.25000000000000006,0.2679045092838196,0.3031423290203327,0.25,5.551115123125783e-17,0.0,5.551115123125783e-17
ECOM,42,k=50,string,0.3543046357615894,0.4417744916820702,0.15000000000000002,0.3543046357615894,0.4417744916820702,0.15,0.0,0.0,2.7755575615628914e-17
ECOM,43,k=50,string,0.3302752293577982,0.3955637707948244,0.15000000000000002,0.3302752293577982,0.3955637707948244,0.15,0.0,0.0,2.7755575615628914e-17
ECOM,44,k=50,string,0.33,0.6303142329020333,0.20000000000000004,0.33,0.6303142329020333,0.2,0.0,0.0,2.7755575615628914e-17
